#{"t_start": 1771608703.635612, "env_id": "None"}
r,l,t,matches_won,enemy_matches_won,health,enemy_health
-94.0,3408,61.415823,0,2,-1,93
-7.0,4431,67.367662,0,2,-1,6
-63.0,3862,72.759344,0,2,-1,62
-102.0,5230,80.373651,1,2,-1,101
-68.0,3226,84.413295,0,2,-1,67
-53.0,4227,90.308464,0,2,-1,52
-154.0,3669,95.641583,0,2,-1,153
-61.0,3831,101.332656,0,2,-1,60
-120.0,7156,111.75715,1,2,-1,119
-107.0,3320,115.898381,0,2,-1,106
-32.0,4201,121.776417,0,2,-1,31
-40.0,4068,127.673991,0,2,-1,39
-139.0,3264,132.648011,0,2,-1,138
-76.0,3948,138.28183,0,2,-1,75
-96.0,6756,147.613115,1,2,-1,95
-100.0,4256,153.652266,0,2,-1,99
-143.0,4128,159.56691,0,2,-1,142
-172.0,3623,164.985379,0,2,-1,171
-59.0,3590,170.474462,0,2,-1,58
-37.0,3255,174.636756,0,2,-1,36
-172.0,2687,179.071918,0,2,-1,171
-45.0,3268,183.299475,0,2,-1,44
-102.0,2989,188.055563,0,2,-1,101
-138.0,3753,192.756743,0,2,-1,137
-139.0,4241,199.69851,0,2,-1,138
-177.0,3910,204.626928,0,2,-1,176
-18.0,4120,210.660538,0,2,-1,17
-38.0,3511,216.323739,0,2,-1,37
-91.0,3743,222.041234,0,2,-1,90
-90.0,3915,228.003954,0,2,-1,89
-110.0,3061,232.090914,0,2,-1,109
-131.0,3197,237.219162,0,2,-1,130
-154.0,4441,243.580076,0,2,-1,153
-132.0,3161,248.619949,0,2,-1,131
-39.0,4156,254.70449,0,2,-1,38
-124.0,2648,258.373152,0,2,-1,123
-138.0,5540,266.71226,1,2,-1,137
-93.0,3598,271.406234,0,2,-1,92
-156.0,3095,276.487666,0,2,-1,155
-50.0,5060,283.525897,0,2,-1,49
-146.0,3746,289.351709,0,2,-1,145
-121.0,2930,294.288877,0,2,-1,120
-144.0,3591,299.042247,0,2,-1,143
-150.0,2304,303.325387,0,2,-1,149
-58.0,7027,313.57167,1,2,-1,57
-122.0,3101,318.727378,0,2,-1,121
-90.0,3635,323.544869,0,2,-1,89
-120.0,3224,328.851342,0,2,-1,119
-177.0,3716,334.681184,0,2,-1,176
-113.0,3385,339.23201,0,2,-1,112
-100.0,4620,348.027914,0,2,-1,99
-177.0,3910,353.252805,0,2,-1,176
-108.0,3565,359.037026,0,2,-1,107
-72.0,3777,365.047745,0,2,-1,71
-177.0,3274,370.494654,0,2,-1,176
-177.0,3136,374.758307,0,2,-1,176
-172.0,2226,377.946136,0,2,-1,171
-154.0,4522,384.617558,0,2,-1,153
-160.0,2266,388.925053,0,2,-1,159
-87.0,6388,398.5304,0,2,-1,86
-126.0,3603,403.246856,0,2,-1,125
-132.0,2882,408.422326,0,2,-1,131
-105.0,3043,412.698048,0,2,-1,104
-96.0,3535,418.705493,0,2,-1,95
-66.0,3380,424.420285,0,2,-1,65
-171.0,4533,431.522698,1,2,-1,170
-75.0,3239,436.995568,0,2,-1,74
-99.0,4626,444.047081,0,2,-1,98
-151.0,4033,450.241151,0,2,-1,150
-67.0,5112,457.945169,0,2,-1,66
-128.0,3596,463.964498,0,2,-1,127
-72.0,4199,470.640799,0,2,-1,71
-107.0,4240,477.632576,0,2,-1,106
