matchup,p1_name,p2_name,episode,round,round_winner,p1_hp_final,p2_hp_final,p1_hp_ratio,p2_hp_ratio
Curriculum_vs_CPU,Curriculum,CPU,1,1,p1,95,0,0.5398,0.0
Curriculum_vs_CPU,Curriculum,CPU,1,2,p1,82,0,0.4659,0.0
Curriculum_vs_CPU,Curriculum,CPU,2,1,p2,0,10,0.0,0.0568
Curriculum_vs_CPU,Curriculum,CPU,2,2,p1,150,0,0.8523,0.0
Curriculum_vs_CPU,Curriculum,CPU,2,3,p1,136,0,0.7727,0.0
Curriculum_vs_CPU,Curriculum,CPU,3,1,p1,56,0,0.3182,0.0
Curriculum_vs_CPU,Curriculum,CPU,3,2,p1,124,0,0.7045,0.0
Curriculum_vs_CPU,Curriculum,CPU,4,1,p1,8,0,0.0455,0.0
Curriculum_vs_CPU,Curriculum,CPU,4,2,p2,0,16,0.0,0.0909
Curriculum_vs_CPU,Curriculum,CPU,4,3,p1,170,0,0.9659,0.0
Curriculum_vs_CPU,Curriculum,CPU,5,1,p2,0,81,0.0,0.4602
Curriculum_vs_CPU,Curriculum,CPU,5,2,p1,4,0,0.0227,0.0
Curriculum_vs_CPU,Curriculum,CPU,5,3,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,6,1,p2,0,128,0.0,0.7273
Curriculum_vs_CPU,Curriculum,CPU,6,2,p2,0,43,0.0,0.2443
Curriculum_vs_CPU,Curriculum,CPU,7,1,p2,0,67,0.0,0.3807
Curriculum_vs_CPU,Curriculum,CPU,7,2,p1,72,0,0.4091,0.0
Curriculum_vs_CPU,Curriculum,CPU,7,3,p1,50,0,0.2841,0.0
Curriculum_vs_CPU,Curriculum,CPU,8,1,p1,85,0,0.483,0.0
Curriculum_vs_CPU,Curriculum,CPU,8,2,p1,34,0,0.1932,0.0
Curriculum_vs_CPU,Curriculum,CPU,9,1,p2,0,41,0.0,0.233
Curriculum_vs_CPU,Curriculum,CPU,9,2,p1,92,0,0.5227,0.0
Curriculum_vs_CPU,Curriculum,CPU,9,3,p1,108,0,0.6136,0.0
Curriculum_vs_CPU,Curriculum,CPU,10,1,p2,0,145,0.0,0.8239
Curriculum_vs_CPU,Curriculum,CPU,10,2,p1,119,0,0.6761,0.0
Curriculum_vs_CPU,Curriculum,CPU,10,3,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,11,1,p1,150,0,0.8523,0.0
Curriculum_vs_CPU,Curriculum,CPU,11,2,p1,5,0,0.0284,0.0
Curriculum_vs_CPU,Curriculum,CPU,12,1,p2,0,105,0.0,0.5966
Curriculum_vs_CPU,Curriculum,CPU,12,2,p1,142,0,0.8068,0.0
Curriculum_vs_CPU,Curriculum,CPU,12,3,p1,49,0,0.2784,0.0
Curriculum_vs_CPU,Curriculum,CPU,13,1,p2,0,21,0.0,0.1193
Curriculum_vs_CPU,Curriculum,CPU,13,2,p1,72,0,0.4091,0.0
Curriculum_vs_CPU,Curriculum,CPU,13,3,p2,0,123,0.0,0.6989
Curriculum_vs_CPU,Curriculum,CPU,14,1,p1,122,0,0.6932,0.0
Curriculum_vs_CPU,Curriculum,CPU,14,2,p2,0,31,0.0,0.1761
Curriculum_vs_CPU,Curriculum,CPU,14,3,p2,0,5,0.0,0.0284
Curriculum_vs_CPU,Curriculum,CPU,15,1,p1,58,0,0.3295,0.0
Curriculum_vs_CPU,Curriculum,CPU,15,2,p2,0,53,0.0,0.3011
Curriculum_vs_CPU,Curriculum,CPU,15,3,p2,0,61,0.0,0.3466
Curriculum_vs_CPU,Curriculum,CPU,16,1,p2,0,107,0.0,0.608
Curriculum_vs_CPU,Curriculum,CPU,16,2,p2,0,97,0.0,0.5511
Curriculum_vs_CPU,Curriculum,CPU,17,1,p2,0,151,0.0,0.858
Curriculum_vs_CPU,Curriculum,CPU,17,2,p2,0,0,0.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,18,1,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,18,2,p1,27,0,0.1534,0.0
Curriculum_vs_CPU,Curriculum,CPU,19,1,p1,95,0,0.5398,0.0
Curriculum_vs_CPU,Curriculum,CPU,19,2,p1,57,0,0.3239,0.0
Curriculum_vs_CPU,Curriculum,CPU,20,1,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,20,2,p2,0,1,0.0,0.0057
Curriculum_vs_CPU,Curriculum,CPU,20,3,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,21,1,p1,113,0,0.642,0.0
Curriculum_vs_CPU,Curriculum,CPU,21,2,p1,97,0,0.5511,0.0
Curriculum_vs_CPU,Curriculum,CPU,22,1,p1,145,0,0.8239,0.0
Curriculum_vs_CPU,Curriculum,CPU,22,2,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,23,1,p1,55,0,0.3125,0.0
Curriculum_vs_CPU,Curriculum,CPU,23,2,p2,0,70,0.0,0.3977
Curriculum_vs_CPU,Curriculum,CPU,23,3,p1,129,0,0.733,0.0
Curriculum_vs_CPU,Curriculum,CPU,24,1,p1,136,0,0.7727,0.0
Curriculum_vs_CPU,Curriculum,CPU,24,2,p1,16,0,0.0909,0.0
Curriculum_vs_CPU,Curriculum,CPU,25,1,p1,25,0,0.142,0.0
Curriculum_vs_CPU,Curriculum,CPU,25,2,p2,0,125,0.0,0.7102
Curriculum_vs_CPU,Curriculum,CPU,25,3,p1,150,0,0.8523,0.0
Curriculum_vs_CPU,Curriculum,CPU,26,1,p1,44,0,0.25,0.0
Curriculum_vs_CPU,Curriculum,CPU,26,2,p1,141,0,0.8011,0.0
Curriculum_vs_CPU,Curriculum,CPU,27,1,p2,0,53,0.0,0.3011
Curriculum_vs_CPU,Curriculum,CPU,27,2,p1,136,0,0.7727,0.0
Curriculum_vs_CPU,Curriculum,CPU,27,3,p1,55,0,0.3125,0.0
Curriculum_vs_CPU,Curriculum,CPU,28,1,p2,0,132,0.0,0.75
Curriculum_vs_CPU,Curriculum,CPU,28,2,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,28,3,p2,0,86,0.0,0.4886
Curriculum_vs_CPU,Curriculum,CPU,29,1,p2,0,113,0.0,0.642
Curriculum_vs_CPU,Curriculum,CPU,29,2,p2,0,70,0.0,0.3977
Curriculum_vs_CPU,Curriculum,CPU,30,1,p2,0,109,0.0,0.6193
Curriculum_vs_CPU,Curriculum,CPU,30,2,p2,0,18,0.0,0.1023
Curriculum_vs_CPU,Curriculum,CPU,31,1,p2,0,133,0.0,0.7557
Curriculum_vs_CPU,Curriculum,CPU,31,2,p1,105,0,0.5966,0.0
Curriculum_vs_CPU,Curriculum,CPU,31,3,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,32,1,p1,41,0,0.233,0.0
Curriculum_vs_CPU,Curriculum,CPU,32,2,p2,0,11,0.0,0.0625
Curriculum_vs_CPU,Curriculum,CPU,32,3,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,33,1,p2,0,38,0.0,0.2159
Curriculum_vs_CPU,Curriculum,CPU,33,2,p2,0,61,0.0,0.3466
Curriculum_vs_CPU,Curriculum,CPU,34,1,p1,38,0,0.2159,0.0
Curriculum_vs_CPU,Curriculum,CPU,34,2,p2,0,110,0.0,0.625
Curriculum_vs_CPU,Curriculum,CPU,34,3,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,35,1,p2,0,20,0.0,0.1136
Curriculum_vs_CPU,Curriculum,CPU,35,2,p1,176,0,1.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,35,3,p2,0,70,0.0,0.3977
Curriculum_vs_CPU,Curriculum,CPU,36,1,draw,0,0,0.0,0.0
Curriculum_vs_CPU,Curriculum,CPU,36,2,p2,0,8,0.0,0.0455
Curriculum_vs_CPU,Curriculum,CPU,36,3,p2,0,62,0.0,0.3523
Curriculum_vs_CPU,Curriculum,CPU,37,1,p2,0,4,0.0,0.0227
Curriculum_vs_CPU,Curriculum,CPU,37,2,p1,138,0,0.7841,0.0
Curriculum_vs_CPU,Curriculum,CPU,37,3,p1,92,0,0.5227,0.0
Curriculum_vs_CPU,Curriculum,CPU,38,1,p1,97,0,0.5511,0.0
Curriculum_vs_CPU,Curriculum,CPU,38,2,p1,150,0,0.8523,0.0
